"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","169.8","","","","1"
"2010","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","167.6","","","","1"
"2011","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","176.2","","","","1"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","178.6","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","180.5","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","191.2","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","200.3","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","209.0","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","221.9","","","","1"
"2018","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","215.0","","","","1"
"2019","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","209.9","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","161.3","","","","1"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","179.4","","","","1"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465008","2.2.185","180.1","","","","1"
"1997","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1106.6","","","","1"
"1998","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1103.2","","","","1"
"1999","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1162.2","","","","1"
"2000","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1260.4","","","","1"
"2001","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1251.8","","","","1"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1273.9","","","","1"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1251.1","","","","1"
"2004","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1256.8","","","","1"
"2005","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1219.5","","","","1"
"2006","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1221.6","","","","1"
"2007","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1239.4","","","","1"
"2008","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1261.7","","","","1"
"2009","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1190.7","","","","1"
"2010","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1217.4","","","","1"
"2011","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1261.6","","","","1"
"2012","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1209.6","","","","1"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1210.5","","","","1"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1260.1","","","","1"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1235.6","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1283.6","","","","1"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1363.1","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1374.6","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1402.0","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1069.3","","","","1"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v62465313","3.2.185","1142.1","","","","1"
