"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","1443.3","","","","1"
"2021","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","1474.9","","","","1"
"2022","Quebec","2016A000224","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465928","5.2.190","2092.3","","","","1"
"1997","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2435.9","","","","1"
"1998","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2490.9","","","","1"
"1999","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2636.2","","","","1"
"2000","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2918.6","","","","1"
"2001","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2897.9","","","","1"
"2002","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2913.5","","","","1"
"2003","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2852.3","","","","1"
"2004","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","2970.8","","","","1"
"2005","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","3164.5","","","","1"
"2006","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","3224.8","","","","1"
"2007","Ontario","2016A000235","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62466233","6.2.190","3410.0","","","","1"
