"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","8.2","","","","1"
"2000","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","8.3","","","","1"
"2001","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.5","","","","1"
"2002","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","9.5","","","","1"
"2003","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","9.8","","","","1"
"2004","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","9.8","","","","1"
"2005","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.8","","","","1"
"2006","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.6","","","","1"
"2007","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","8.9","","","","1"
"2008","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","9.1","","","","1"
"2009","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","8.3","","","","1"
"2010","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","6.9","","","","1"
"2011","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.2","","","","1"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.9","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","8.1","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.9","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","7.7","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","9.0","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","9.7","","","","1"
"2018","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","10.3","","","","1"
"2019","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","10.0","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","5.6","","","","1"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","5.5","","","","1"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465013","2.2.190","6.2","","","","1"
"1997","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","99.9","","","","1"
"1998","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","102.1","","","","1"
"1999","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","125.0","","","","1"
"2000","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","138.2","","","","1"
"2001","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","115.2","","","","1"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","115.3","","","","1"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","119.0","","","","1"
"2004","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","125.8","","","","1"
"2005","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","132.3","","","","1"
"2006","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","132.5","","","","1"
"2007","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","134.3","","","","1"
"2008","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","146.3","","","","1"
"2009","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","126.1","","","","1"
"2010","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","120.9","","","","1"
"2011","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","121.6","","","","1"
"2012","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","109.7","","","","1"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","116.5","","","","1"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","117.6","","","","1"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","115.6","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","112.8","","","","1"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","111.7","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","116.8","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","113.7","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","48.6","","","","1"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","46.3","","","","1"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465318","3.2.190","51.2","","","","1"
"1997","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","38.9","","","","1"
"1998","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","35.3","","","","1"
"1999","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","39.4","","","","1"
"2000","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","43.2","","","","1"
"2001","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","40.3","","","","1"
"2002","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","44.6","","","","1"
"2003","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","45.2","","","","1"
"2004","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","40.9","","","","1"
"2005","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","46.5","","","","1"
"2006","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","40.6","","","","1"
"2007","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","45.8","","","","1"
"2008","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","50.3","","","","1"
"2009","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","42.6","","","","1"
"2010","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","43.4","","","","1"
"2011","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","42.0","","","","1"
"2012","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","39.7","","","","1"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","46.1","","","","1"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","41.2","","","","1"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Transit, ground passenger and scenic and sightseeing transportation [48Z]","Dollars","81","millions","6","v62465623","4.2.190","37.3","","","","1"
