"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","23.0","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","23.3","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","24.8","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","22.3","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","19.3","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","19.6","","","","1"
"2018","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","17.4","","","","1"
"2019","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","8.9","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","6.0","","","","1"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","6.9","","","","1"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465011","2.2.188","7.6","","","","1"
"1997","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","232.6","","","","1"
"1998","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","200.2","","","","1"
"1999","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","231.9","","","","1"
"2000","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","220.1","","","","1"
"2001","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","209.7","","","","1"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","214.7","","","","1"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","171.1","","","","1"
"2004","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","163.2","","","","1"
"2005","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","190.9","","","","1"
"2006","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","201.4","","","","1"
"2007","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","185.9","","","","1"
"2008","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","187.6","","","","1"
"2009","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","156.9","","","","1"
"2010","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","149.4","","","","1"
"2011","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","154.2","","","","1"
"2012","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","159.4","","","","1"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","155.2","","","","1"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","166.8","","","","1"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","155.6","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","152.7","","","","1"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","172.9","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","185.2","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","200.0","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","178.6","","","","1"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","199.9","","","","1"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465316","3.2.188","221.4","","","","1"
"1997","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","89.8","","","","1"
"1998","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","35.0","","","","1"
"1999","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","43.6","","","","1"
"2000","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","40.7","","","","1"
"2001","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","36.1","","","","1"
"2002","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","35.6","","","","1"
"2003","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","34.8","","","","1"
"2004","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","39.1","","","","1"
"2005","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","37.3","","","","1"
"2006","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","45.6","","","","1"
"2007","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","43.1","","","","1"
"2008","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","41.0","","","","1"
"2009","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","35.2","","","","1"
"2010","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","37.4","","","","1"
"2011","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","38.9","","","","1"
"2012","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","43.7","","","","1"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","44.8","","","","1"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","49.5","","","","1"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","47.4","","","","1"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","70.8","","","","1"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","86.5","","","","1"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","83.9","","","","1"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","86.9","","","","1"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","82.9","","","","1"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","90.2","","","","1"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465621","4.2.188","97.3","","","","1"
"1997","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","238.7","","","","1"
"1998","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","311.9","","","","1"
"1999","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","293.1","","","","1"
"2000","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","220.5","","","","1"
"2001","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","218.7","","","","1"
"2002","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","221.0","","","","1"
"2003","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","244.3","","","","1"
"2004","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","242.9","","","","1"
"2005","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","251.8","","","","1"
"2006","Quebec","2016A000224","Chained (2017) dollars","Water transportation [483]","Dollars","81","millions","6","v62465926","5.2.188","233.9","","","","1"
