"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","436637","","","","0"
"2012","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","442459","","","","0"
"2013","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","445155","","","","0"
"2014","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","444513","","","","0"
"2015","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","442760","","","","0"
"2016","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","442624","","","","0"
"2017","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","441592","","","","0"
"2018","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","441178","","","","0"
"2019","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","438219","","","","0"
"2020","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","434505","","","","0"
"2021","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","425549","","","","0"
"2022","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","425660","","","","0"
"2023","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","424671","","","","0"
"1990","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","461660","","","","0"
"1991","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","453960","","","","0"
"1992","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","447045","","","","0"
"1993","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","443937","","","","0"
"1994","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","443989","","","","0"
"1995","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","450277","","","","0"
"1996","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","461079","","","","0"
"1997","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","470570","","","","0"
"1998","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","478582","","","","0"
"1999","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","479327","","","","0"
"2000","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","471933","","","","0"
"2001","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","460716","","","","0"
"2002","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","449285","","","","0"
"2003","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","435368","","","","0"
"2004","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","421385","","","","0"
"2005","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","409067","","","","0"
"2006","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","397234","","","","0"
"2007","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","388089","","","","0"
"2008","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","383089","","","","0"
"2009","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","383027","","","","0"
"2010","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","383174","","","","0"
"2011","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","389812","","","","0"
"2012","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","399859","","","","0"
"2013","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","413281","","","","0"
"2014","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","426276","","","","0"
"2015","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","438421","","","","0"
"2016","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","447045","","","","0"
"2017","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","455156","","","","0"
"2018","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","463565","","","","0"
