"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","250412","","","","0"
"2012","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","256986","","","","0"
"2013","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","262905","","","","0"
"2014","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","267858","","","","0"
"2015","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","271121","","","","0"
"2016","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","274239","","","","0"
"2017","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","274829","","","","0"
"2018","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","274159","","","","0"
"2019","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","272948","","","","0"
"2020","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","269237","","","","0"
"2021","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","261279","","","","0"
"2022","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","256894","","","","0"
"2023","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","257860","","","","0"
"1990","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","204797","","","","0"
"1991","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","209426","","","","0"
"1992","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","211531","","","","0"
"1993","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","211534","","","","0"
"1994","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","211820","","","","0"
"1995","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","213375","","","","0"
"1996","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","213337","","","","0"
"1997","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","215033","","","","0"
"1998","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","216913","","","","0"
"1999","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","215377","","","","0"
"2000","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","212622","","","","0"
"2001","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","211231","","","","0"
