"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","221554","","","","0"
"2011","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","223305","","","","0"
"2012","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","223692","","","","0"
"2013","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","223660","","","","0"
"2014","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","224050","","","","0"
"2015","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","226034","","","","0"
"2016","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","230028","","","","0"
"2017","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","231413","","","","0"
"2018","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","231196","","","","0"
"2019","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","230518","","","","0"
"2020","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","229167","","","","0"
"2021","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","227007","","","","0"
"2022","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","224448","","","","0"
"2023","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","219523","","","","0"
"1990","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","225296","","","","0"
"1991","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","230606","","","","0"
"1992","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","236024","","","","0"
"1993","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","240174","","","","0"
"1994","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","244908","","","","0"
"1995","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","248823","","","","0"
"1996","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","251262","","","","0"
"1997","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","254775","","","","0"
"1998","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","254931","","","","0"
"1999","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","252682","","","","0"
"2000","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","249554","","","","0"
"2001","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","246991","","","","0"
"2002","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","242040","","","","0"
"2003","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","236354","","","","0"
"2004","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","231515","","","","0"
"2005","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","226678","","","","0"
"2006","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","222341","","","","0"
"2007","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","220115","","","","0"
"2008","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","219583","","","","0"
"2009","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","219157","","","","0"
"2010","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","219033","","","","0"
"2011","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","220024","","","","0"
"2012","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","222630","","","","0"
