"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","2.6","","","","1"
"2008","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.1","","","","1"
"2009","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","2.7","","","","1"
"2010","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.0","","","","1"
"2011","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.3","","","","1"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.4","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.3","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.5","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","3.7","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","4.2","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","4.5","","","","1"
"2018","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","5.0","","","","1"
"2019","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","5.3","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","1.2","","","","1"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","1.1","","","","1"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465009","2.2.186","4.0","","","","1"
"1997","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","136.5","","","","1"
"1998","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","144.0","","","","1"
"1999","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","145.0","","","","1"
"2000","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","145.7","","","","1"
"2001","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","141.1","","","","1"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","140.2","","","","1"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","139.3","","","","1"
"2004","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","146.1","","","","1"
"2005","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","122.8","","","","1"
"2006","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","122.1","","","","1"
"2007","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","133.2","","","","1"
"2008","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","132.6","","","","1"
"2009","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","115.3","","","","1"
"2010","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","128.5","","","","1"
"2011","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","141.6","","","","1"
"2012","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","144.7","","","","1"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","133.8","","","","1"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","130.9","","","","1"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","97.6","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","Air transportation [481]","Dollars","81","millions","6","v62465314","3.2.186","107.1","","","","1"
