"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1876494","","","","0"
"2011","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1899982","","","","0"
"2012","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1918726","","","","0"
"2013","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1926496","","","","0"
"2014","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1929371","","","","0"
"2015","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1930005","","","","0"
"2016","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1943799","","","","0"
"2017","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1948684","","","","0"
"2018","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1952216","","","","0"
"2019","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1949121","","","","0"
"2020","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1937161","","","","0"
"2021","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1902883","","","","0"
"2022","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1888740","","","","0"
"2023","Canada","2016A000011124","Total - gender","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1881497","","","","0"
"1990","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1923491","","","","0"
"1991","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1934715","","","","0"
"1992","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1948334","","","","0"
"1993","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1954420","","","","0"
"1994","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1968145","","","","0"
"1995","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1991977","","","","0"
"1996","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2015880","","","","0"
"1997","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2040433","","","","0"
"1998","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2059856","","","","0"
"1999","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2056299","","","","0"
"2000","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2036949","","","","0"
"2001","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2016702","","","","0"
"2002","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1988333","","","","0"
"2003","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1947236","","","","0"
"2004","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1904685","","","","0"
"2005","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1864519","","","","0"
"2006","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1824515","","","","0"
"2007","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1801771","","","","0"
"2008","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1790228","","","","0"
"2009","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791496","","","","0"
"2010","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1790933","","","","0"
"2011","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1809872","","","","0"
"2012","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1846795","","","","0"
"2013","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1892241","","","","0"
"2014","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1930745","","","","0"
"2015","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1969407","","","","0"
"2016","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2004040","","","","0"
"2017","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2026743","","","","0"
"2018","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2043748","","","","0"
"2019","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2056265","","","","0"
"2020","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2067384","","","","0"
"2021","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2072565","","","","0"
"2022","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2091920","","","","0"
"2023","Canada","2016A000011124","Total - gender","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2122845","","","","0"
"1990","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1874934","","","","0"
"1991","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1902403","","","","0"
"1992","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1930673","","","","0"
"1993","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1957969","","","","0"
"1994","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1982380","","","","0"
"1995","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1997650","","","","0"
"1996","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2009325","","","","0"
"1997","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2020613","","","","0"
"1998","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2026586","","","","0"
"1999","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2034559","","","","0"
"2000","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2055843","","","","0"
"2001","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2079498","","","","0"
"2002","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2114426","","","","0"
"2003","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2138756","","","","0"
"2004","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2141408","","","","0"
"2005","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2124210","","","","0"
"2006","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2096088","","","","0"
"2007","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2065719","","","","0"
"2008","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2032017","","","","0"
"2009","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1996430","","","","0"
"2010","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1958874","","","","0"
"2011","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1917116","","","","0"
"2012","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895615","","","","0"
"2013","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1887081","","","","0"
"2014","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1893854","","","","0"
"2015","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895854","","","","0"
"2016","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1920169","","","","0"
"2017","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1952245","","","","0"
"2018","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2001618","","","","0"
"2019","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2047524","","","","0"
"2020","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2092804","","","","0"
"2021","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2114016","","","","0"
"2022","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2145419","","","","0"
"2023","Canada","2016A000011124","Total - gender","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2187154","","","","0"
"1990","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1938489","","","","0"
"1991","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1927520","","","","0"
"1992","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1926856","","","","0"
"1993","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1932135","","","","0"
"1994","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1956819","","","","0"
"1995","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1981185","","","","0"
"1996","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2009898","","","","0"
"1997","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2028117","","","","0"
"1998","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2052607","","","","0"
"1999","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2074904","","","","0"
"2000","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2095909","","","","0"
"2001","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2115979","","","","0"
"2002","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2128137","","","","0"
"2003","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2129666","","","","0"
"2004","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2143814","","","","0"
"2005","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2175863","","","","0"
"2006","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2211500","","","","0"
"2007","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2231886","","","","0"
"2008","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2250647","","","","0"
"2009","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2255456","","","","0"
"2010","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2248646","","","","0"
"2011","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2236579","","","","0"
"2012","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2199349","","","","0"
"2013","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2158367","","","","0"
"2014","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2124336","","","","0"
"2015","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2100302","","","","0"
"2016","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2089925","","","","0"
"2017","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2081573","","","","0"
"2018","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2083934","","","","0"
"2019","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2089984","","","","0"
"2020","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2082685","","","","0"
"2021","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2059975","","","","0"
"2022","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2145871","","","","0"
"2023","Canada","2016A000011124","Total - gender","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2233251","","","","0"
"1990","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2120451","","","","0"
"1991","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2085828","","","","0"
"1992","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2067749","","","","0"
"1993","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2045459","","","","0"
"1994","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2024094","","","","0"
"1995","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2008487","","","","0"
"1996","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2000975","","","","0"
"1997","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2007172","","","","0"
"1998","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2012767","","","","0"
"1999","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2038540","","","","0"
"2000","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2068377","","","","0"
"2001","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2109094","","","","0"
"2002","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2142283","","","","0"
"2003","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2177912","","","","0"
"2004","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2210771","","","","0"
"2005","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2234087","","","","0"
"2006","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2251704","","","","0"
"2007","Canada","2016A000011124","Total - gender","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2261099","","","","0"
